IR,RED,beat_event
35874.0,25990.0,0
35876.0,25972.0,0
35849.0,25979.0,0
35853.0,25985.0,0
35834.0,25983.0,0
35858.0,25983.0,0
35835.0,26001.0,0
35851.0,25992.0,0
35850.0,25990.0,0
35856.0,25986.0,0
35846.0,25992.0,0
35842.0,25987.0,0
35839.0,25993.0,0
35844.0,26006.0,0
35854.0,26005.0,0
35845.0,26015.0,0
35841.0,26020.0,0
35839.0,25991.0,0
35802.0,25978.0,0
35807.0,25969.0,0
35810.0,25976.0,0
35807.0,25971.0,0
35807.0,25972.0,0
35801.0,25984.0,0
35807.0,25974.0,0
35795.0,25977.0,0
35798.0,25975.0,0
35806.0,25969.0,0
35795.0,25968.0,0
35782.0,25953.0,0
35759.0,25947.0,0
35767.0,25932.0,0
35754.0,25929.0,0
35750.0,25939.0,0
35773.0,25938.0,0
35793.0,25955.0,0
35788.0,25956.0,0
35819.0,25951.0,0
35809.0,25944.0,0
35812.0,25952.0,0
35796.0,25934.0,0
35789.0,25935.0,0
35804.0,25932.0,0
35801.0,25941.0,0
35806.0,25943.0,0
35796.0,25956.0,0
35798.0,25956.0,0
35805.0,25974.0,0
35809.0,25983.0,0
35812.0,25981.0,0
35813.0,25995.0,0
35831.0,26016.0,0
35830.0,26018.0,0
35843.0,26033.0,0
35884.0,26043.0,0
35871.0,26059.0,0
35892.0,26053.0,0
35894.0,26082.0,0
35899.0,26083.0,0
35924.0,26094.0,0
35917.0,26099.0,0
35953.0,26122.0,0
35954.0,26151.0,0
35980.0,26156.0,0
35961.0,26171.0,0
35976.0,26166.0,0
35972.0,26174.0,0
35958.0,26178.0,0
35955.0,26174.0,0
35940.0,26177.0,0
35936.0,26170.0,0
35937.0,26171.0,0
35924.0,26174.0,0
35919.0,26154.0,0
35925.0,26173.0,0
35934.0,26167.0,0
35921.0,26173.0,0
35918.0,26174.0,0
35915.0,26161.0,0
35913.0,26165.0,0
35928.0,26159.0,0
35938.0,26173.0,0
35948.0,26198.0,0
35954.0,26198.0,0
35964.0,26212.0,0
35978.0,26209.0,0
35951.0,26208.0,0
35958.0,26220.0,0
35953.0,26209.0,0
35955.0,26209.0,0
35961.0,26209.0,0
35966.0,26217.0,0
35946.0,26218.0,0
35946.0,26221.0,0
35954.0,26219.0,0
35960.0,26213.0,0
35952.0,26209.0,0
35940.0,26196.0,0
35935.0,26186.0,0
35916.0,26192.0,0
35936.0,26198.0,0
35939.0,26191.0,0
35930.0,26204.0,0
35929.0,26212.0,0
35941.0,26217.0,0
35942.0,26220.0,0
35951.0,26214.0,0
35931.0,26219.0,0
35936.0,26219.0,0
35921.0,26222.0,0
35934.0,26226.0,0
35920.0,26204.0,0
35940.0,26206.0,0
35924.0,26202.0,0
35931.0,26198.0,0
35922.0,26184.0,0
35930.0,26183.0,0
35930.0,26193.0,0
35930.0,26191.0,0
35938.0,26190.0,0
35924.0,26193.0,0
35910.0,26186.0,0
35923.0,26181.0,0
35907.0,26181.0,0
35905.0,26170.0,0
35914.0,26188.0,0
35913.0,26181.0,0
35893.0,26187.0,0
35921.0,26185.0,0
35907.0,26200.0,0
35911.0,26183.0,0
35919.0,26182.0,0
35915.0,26175.0,0
35891.0,26160.0,0
35896.0,26166.0,0
35905.0,26155.0,0
35890.0,26168.0,0
35890.0,26169.0,0
35875.0,26174.0,0
35897.0,26175.0,0
35889.0,26177.0,0
35881.0,26177.0,0
35887.0,26180.0,0
35883.0,26178.0,0
35891.0,26182.0,0
35877.0,26172.0,0
35877.0,26168.0,0
35879.0,26175.0,0
35904.0,26167.0,0
35896.0,26164.0,0
35894.0,26181.0,0
35902.0,26176.0,0
35916.0,26186.0,0
35906.0,26188.0,0
35878.0,26177.0,0
35879.0,26170.0,0
35868.0,26168.0,0
35852.0,26155.0,0
35852.0,26153.0,0
35845.0,26146.0,0
35850.0,26140.0,0
35863.0,26129.0,0
35872.0,26148.0,0
35868.0,26159.0,0
35879.0,26151.0,0
35873.0,26146.0,0
35879.0,26150.0,0
35872.0,26142.0,0
35873.0,26140.0,0
35852.0,26154.0,0
35847.0,26145.0,0
35854.0,26149.0,0
35857.0,26150.0,0
35852.0,26144.0,0
35845.0,26143.0,0
35841.0,26138.0,0
35841.0,26132.0,0
35836.0,26137.0,0
35860.0,26150.0,0
35876.0,26151.0,0
35867.0,26149.0,0
35876.0,26149.0,0
35869.0,26155.0,0
35856.0,26156.0,0
35860.0,26142.0,0
35847.0,26145.0,0
35829.0,26139.0,0
35828.0,26119.0,0
35819.0,26133.0,0
35805.0,26132.0,0
35825.0,26130.0,0
35820.0,26129.0,0
35824.0,26134.0,0
35806.0,26130.0,0
35816.0,26125.0,0
35811.0,26123.0,0
35814.0,26116.0,0
35807.0,26120.0,0
35811.0,26111.0,0
35807.0,26096.0,0
35793.0,26093.0,0
35783.0,26088.0,0
35787.0,26074.0,0
35767.0,26066.0,0
35775.0,26068.0,0
35765.0,26067.0,0
35777.0,26066.0,0
35767.0,26062.0,0
35767.0,26075.0,0
35769.0,26077.0,0
35775.0,26076.0,0
35770.0,26072.0,0
35779.0,26074.0,0
35753.0,26079.0,0
35755.0,26082.0,0
35757.0,26081.0,0
35745.0,26068.0,0
35748.0,26059.0,0
35745.0,26056.0,0
35730.0,26064.0,0
35752.0,26061.0,0
35741.0,26059.0,0
35732.0,26057.0,0
35749.0,26072.0,0
35738.0,26069.0,0
35728.0,26061.0,0
35737.0,26061.0,0
35723.0,26069.0,0
35735.0,26069.0,0
35732.0,26068.0,0
35733.0,26062.0,0
35726.0,26058.0,0
35716.0,26051.0,0
35706.0,26045.0,0
35709.0,26034.0,0
35711.0,26045.0,0
35692.0,26030.0,0
35709.0,26016.0,0
35706.0,26015.0,0
35695.0,26025.0,0
35690.0,26019.0,0
35682.0,26007.0,0
35683.0,26010.0,0
35675.0,26014.0,0
35692.0,26023.0,0
35682.0,26023.0,0
35701.0,26025.0,0
35691.0,26038.0,0
35693.0,26028.0,0
35686.0,26030.0,0
35690.0,26034.0,0
35681.0,26029.0,0
35680.0,26040.0,0
35677.0,26029.0,0
35680.0,26025.0,0
35675.0,26044.0,0
35679.0,26030.0,0
35697.0,26022.0,0
35676.0,26006.0,0
35675.0,26012.0,0
35671.0,25996.0,0
35674.0,25987.0,0
35659.0,25986.0,0
35661.0,25984.0,0
35655.0,25979.0,0
35651.0,25984.0,0
35651.0,25981.0,0
35653.0,25989.0,0
35660.0,25993.0,0
35651.0,25988.0,0
35662.0,26000.0,0
35670.0,26003.0,0
35671.0,26006.0,0
35673.0,26017.0,0
35693.0,26030.0,0
35683.0,26020.0,0
35694.0,26035.0,0
35691.0,26038.0,0
35695.0,26047.0,0
35698.0,26054.0,0
35712.0,26067.0,0
35729.0,26087.0,0
35734.0,26088.0,0
35736.0,26095.0,0
35744.0,26100.0,0
35733.0,26093.0,0
35736.0,26089.0,0
35735.0,26099.0,0
35721.0,26099.0,0
35725.0,26090.0,0
35727.0,26085.0,0
35718.0,26082.0,0
35715.0,26093.0,0
35707.0,26078.0,0
35690.0,26060.0,0
35682.0,26067.0,0
35680.0,26057.0,0
35663.0,26051.0,0
35678.0,26050.0,0
35680.0,26037.0,0
35668.0,26041.0,0
35667.0,26047.0,0
35660.0,26040.0,0
35653.0,26038.0,0
35639.0,26034.0,0
35646.0,26051.0,0
35647.0,26032.0,0
35649.0,26032.0,0
35630.0,26031.0,0
35635.0,26028.0,0
35633.0,26015.0,0
35638.0,26015.0,0
35631.0,26014.0,0
35640.0,26005.0,0
35631.0,26009.0,0
35625.0,26015.0,0
35641.0,26008.0,0
35644.0,26019.0,0
35636.0,25999.0,0
35628.0,26007.0,0
35639.0,26018.0,0
35629.0,26008.0,0
35624.0,26002.0,0
35631.0,26006.0,0
35640.0,26013.0,0
35620.0,26000.0,0
35632.0,26000.0,0
35627.0,26007.0,0
35631.0,25991.0,0
35624.0,26001.0,0
35603.0,25988.0,0
35602.0,25984.0,0
35619.0,25975.0,0
35609.0,25970.0,0
35611.0,25986.0,0
35600.0,25964.0,0
35609.0,25961.0,0
35593.0,25964.0,0
35595.0,25972.0,0
35596.0,25977.0,0
35598.0,25976.0,0
35615.0,25972.0,0
35603.0,25970.0,0
35590.0,25973.0,0
35588.0,25971.0,0
35598.0,25954.0,0
35596.0,25967.0,0
35585.0,25954.0,0
35592.0,25955.0,0
35580.0,25959.0,0
35586.0,25952.0,0
35579.0,25960.0,0
35586.0,25950.0,0
35582.0,25952.0,0
35579.0,25959.0,0
35570.0,25960.0,0
35592.0,25944.0,0
35587.0,25947.0,0
35588.0,25945.0,0
35579.0,25948.0,0
35591.0,25970.0,0
35602.0,25964.0,0
35623.0,25989.0,0
35620.0,25976.0,0
35622.0,25992.0,0
35608.0,25976.0,0
35599.0,25974.0,0
35601.0,25970.0,0
35610.0,25962.0,0
35580.0,25961.0,0
35583.0,25966.0,0
35585.0,25962.0,0
35584.0,25984.0,0
35588.0,25970.0,0
35581.0,25979.0,0
35576.0,25984.0,0
35579.0,25975.0,0
35575.0,25979.0,0
35584.0,25979.0,0
35577.0,25974.0,0
35575.0,25980.0,0
35588.0,25959.0,0
35573.0,25971.0,0
35573.0,25969.0,0
35585.0,25963.0,0
35571.0,25955.0,0
35559.0,25949.0,0
35544.0,25933.0,0
35547.0,25926.0,0
35543.0,25934.0,0
35535.0,25929.0,0
35544.0,25936.0,0
35540.0,25929.0,0
35547.0,25915.0,0
35539.0,25925.0,0
35529.0,25920.0,0
35522.0,25897.0,0
35516.0,25890.0,0
35508.0,25884.0,1
35519.0,25886.0,0
35520.0,25875.0,0
35527.0,25875.0,0
35505.0,25897.0,0
35526.0,25894.0,0
35533.0,25894.0,0
35526.0,25887.0,0
35525.0,25890.0,0
35517.0,25881.0,0
35518.0,25895.0,0
35498.0,25886.0,0
35487.0,25880.0,0
35514.0,25870.0,0
35501.0,25869.0,0
35507.0,25874.0,0
35508.0,25887.0,0
35500.0,25874.0,0
35502.0,25878.0,0
35479.0,25863.0,0
35462.0,25852.0,0
35470.0,25861.0,0
35472.0,25870.0,0
35468.0,25868.0,0
35489.0,25865.0,0
35482.0,25871.0,0
35484.0,25867.0,0
35479.0,25873.0,0
35492.0,25873.0,0
35487.0,25870.0,0
35476.0,25865.0,0
35483.0,25871.0,0
35493.0,25879.0,0
35496.0,25878.0,0
35485.0,25878.0,0
35482.0,25882.0,0
35456.0,25878.0,0
35455.0,25868.0,0
35473.0,25877.0,0
35471.0,25875.0,0
35477.0,25872.0,0
35475.0,25874.0,0
35470.0,25874.0,0
35469.0,25857.0,0
35456.0,25862.0,0
35443.0,25855.0,0
35427.0,25836.0,0
35454.0,25842.0,0
35429.0,25832.0,0
35441.0,25831.0,0
35437.0,25842.0,0
35429.0,25826.0,0
35426.0,25827.0,0
35439.0,25834.0,0
35432.0,25828.0,0
35432.0,25830.0,0
35424.0,25833.0,0
35421.0,25829.0,0
35421.0,25831.0,0
35408.0,25828.0,0
35415.0,25809.0,0
35418.0,25813.0,0
35408.0,25818.0,0
35405.0,25810.0,0
35410.0,25817.0,0
35406.0,25818.0,0
35423.0,25818.0,0
35430.0,25825.0,0
35397.0,25819.0,0
35410.0,25817.0,0
35391.0,25818.0,0
35403.0,25804.0,0
35399.0,25800.0,0
35395.0,25807.0,0
35399.0,25799.0,1
35393.0,25805.0,0
35408.0,25812.0,0
35409.0,25812.0,0
35402.0,25808.0,0
35402.0,25817.0,0
35400.0,25810.0,0
35386.0,25809.0,0
35385.0,25802.0,0
35377.0,25796.0,0
35386.0,25792.0,0
35385.0,25789.0,0
35396.0,25798.0,0
35387.0,25785.0,0
35381.0,25787.0,0
35377.0,25793.0,0
35368.0,25777.0,0
35366.0,25772.0,0
35358.0,25773.0,0
35361.0,25782.0,0
35372.0,25783.0,0
35367.0,25775.0,0
35371.0,25766.0,0
35359.0,25774.0,0
35367.0,25784.0,0
35352.0,25785.0,0
35354.0,25774.0,0
35358.0,25784.0,0
35359.0,25782.0,0
35371.0,25783.0,0
35342.0,25784.0,0
35355.0,25781.0,0
35349.0,25787.0,0
35357.0,25784.0,0
35364.0,25797.0,0
35361.0,25789.0,0
35364.0,25790.0,0
35357.0,25783.0,0
35353.0,25780.0,0
35342.0,25787.0,0
35358.0,25775.0,0
35357.0,25780.0,0
35345.0,25797.0,0
35352.0,25783.0,0
35338.0,25787.0,0
35358.0,25799.0,0
35354.0,25792.0,0
35356.0,25795.0,0
35352.0,25795.0,0
35351.0,25797.0,0
35345.0,25798.0,0
35337.0,25798.0,0
35353.0,25785.0,0
35338.0,25785.0,0
35330.0,25788.0,0
35332.0,25788.0,0
35340.0,25781.0,0
35339.0,25781.0,0
35336.0,25787.0,0
35332.0,25796.0,0
35341.0,25784.0,0
35347.0,25783.0,0
35338.0,25797.0,0
35346.0,25797.0,0
35343.0,25792.0,0
35337.0,25793.0,0
35336.0,25793.0,0
35324.0,25797.0,0
35321.0,25793.0,0
35324.0,25796.0,0
35315.0,25782.0,0
35321.0,25786.0,0
35338.0,25788.0,0
35331.0,25788.0,0
35334.0,25798.0,0
35341.0,25796.0,0
35345.0,25800.0,0
35338.0,25801.0,0
35334.0,25802.0,0
35327.0,25788.0,0
35327.0,25787.0,0
35330.0,25785.0,0
35317.0,25778.0,0
35312.0,25780.0,0
35330.0,25781.0,0
35306.0,25774.0,0
35328.0,25779.0,0
35309.0,25772.0,0
35322.0,25774.0,0
35313.0,25776.0,0
35326.0,25781.0,0
35308.0,25780.0,0
35323.0,25789.0,0
35305.0,25783.0,0
35318.0,25782.0,0
35315.0,25789.0,0
35313.0,25781.0,0
35305.0,25780.0,0
35312.0,25786.0,0
35324.0,25793.0,0
35329.0,25795.0,0
35327.0,25795.0,0
35336.0,25800.0,0
35321.0,25793.0,0
35323.0,25795.0,0
35314.0,25802.0,0
35313.0,25794.0,0
35317.0,25792.0,0
35319.0,25804.0,0
35318.0,25793.0,0
