IR,RED,beat_event
45415.0,45802.0,0
47893.0,48043.0,0
49630.0,49862.0,0
50701.0,51085.0,0
51308.0,51832.0,0
51444.0,52130.0,0
51304.0,52071.0,0
51094.0,51804.0,0
51056.0,51703.0,0
51149.0,51768.0,0
51339.0,51944.0,0
51411.0,52074.0,0
51453.0,52129.0,0
51463.0,52115.0,0
51774.0,52285.0,0
52228.0,52768.0,0
52665.0,53174.0,0
53287.0,53715.0,0
53812.0,54417.0,0
54019.0,54704.0,0
53961.0,54724.0,0
53670.0,54494.0,0
53565.0,54254.0,0
53589.0,54242.0,0
53741.0,54362.0,0
53838.0,54509.0,0
53825.0,54538.0,0
53751.0,54484.0,0
53702.0,54440.0,0
53727.0,54424.0,0
53773.0,54466.0,0
53774.0,54525.0,0
53800.0,54519.0,0
53800.0,54513.0,0
49152.0,52553.0,0
41171.0,49152.0,0
33411.0,40960.0,0
27665.0,33590.0,0
24595.0,30371.0,0
20422.0,27619.0,0
16384.0,24576.0,0
13717.0,19466.0,0
13682.0,18786.0,0
15892.0,20165.0,0
22038.0,24400.0,0
25472.0,30595.0,0
26132.0,29813.0,0
30509.0,33759.0,0
32822.0,34976.0,0
35660.0,37617.0,0
38679.0,41824.0,0
44016.0,45559.0,0
45604.0,47352.0,0
46438.0,48247.0,0
45828.0,48020.0,0
45098.0,47267.0,0
44694.0,46887.0,0
44273.0,46472.0,0
44266.0,46351.0,0
44463.0,46467.0,0
44833.0,46804.0,0
44964.0,46993.0,0
44960.0,47029.0,0
44797.0,46899.0,0
44735.0,46803.0,0
44768.0,46805.0,0
44890.0,46899.0,0
44975.0,47005.0,0
45011.0,47047.0,0
43108.0,46115.0,0
40960.0,41163.0,0
34062.0,36921.0,0
32768.0,35327.0,0
28958.0,33512.0,0
26850.0,31399.0,0
25116.0,29928.0,0
23383.0,28863.0,0
22692.0,26985.0,0
25808.0,27007.0,0
26763.0,28651.0,0
26362.0,28075.0,0
27948.0,29307.0,0
28412.0,30085.0,0
29756.0,31189.0,0
30834.0,32719.0,0
32452.0,34098.0,0
33964.0,35886.0,0
35855.0,37931.0,0
38528.0,40253.0,0
39843.0,41764.0,0
40271.0,42411.0,0
40000.0,42326.0,0
39467.0,41839.0,0
39330.0,41509.0,0
39276.0,41424.0,0
39524.0,41557.0,0
39724.0,41780.0,0
39872.0,41941.0,0
39837.0,41966.0,0
39809.0,41918.0,0
39758.0,41895.0,0
39813.0,41883.0,0
39875.0,41945.0,0
39936.0,41993.0,0
39989.0,42085.0,0
39985.0,42074.0,0
39993.0,42086.0,0
40018.0,42093.0,0
40024.0,42101.0,0
40042.0,42129.0,0
40085.0,42159.0,0
40115.0,42188.0,0
40135.0,42206.0,0
40141.0,42215.0,0
40145.0,42210.0,0
40175.0,42225.0,0
40172.0,42239.0,0
40207.0,42263.0,0
40210.0,42314.0,0
40229.0,42291.0,0
40246.0,42310.0,0
40253.0,42314.0,0
40261.0,42340.0,0
40267.0,42335.0,0
40289.0,42364.0,0
40294.0,42350.0,0
40320.0,42371.0,0
40333.0,42405.0,0
40337.0,42391.0,0
40361.0,42422.0,0
40353.0,42409.0,0
40367.0,42424.0,0
40377.0,42428.0,0
40382.0,42437.0,0
40390.0,42442.0,0
40408.0,42454.0,0
40397.0,42459.0,0
40419.0,42478.0,0
40427.0,42486.0,0
40430.0,42486.0,0
40441.0,42484.0,0
40444.0,42494.0,0
40448.0,42507.0,0
40471.0,42512.0,0
40466.0,42510.0,0
40482.0,42529.0,0
40488.0,42529.0,0
40491.0,42527.0,0
40493.0,42552.0,0
40503.0,42544.0,0
40512.0,42548.0,0
40504.0,42560.0,0
40506.0,42559.0,0
40520.0,42568.0,0
40512.0,42561.0,0
40521.0,42577.0,0
40521.0,42576.0,0
40537.0,42583.0,0
40547.0,42584.0,0
40545.0,42588.0,0
40548.0,42618.0,0
40549.0,42621.0,0
40542.0,42612.0,0
40562.0,42624.0,0
40559.0,42637.0,0
40563.0,42631.0,0
40579.0,42632.0,0
40575.0,42639.0,0
40572.0,42639.0,0
40567.0,42622.0,0
40573.0,42644.0,0
40581.0,42645.0,0
40603.0,42656.0,0
40604.0,42670.0,0
40603.0,42671.0,0
40616.0,42662.0,0
40626.0,42675.0,0
40617.0,42674.0,0
40628.0,42684.0,0
40638.0,42684.0,0
40625.0,42690.0,0
40639.0,42678.0,0
40634.0,42697.0,0
40635.0,42703.0,0
40643.0,42687.0,0
40647.0,42698.0,0
40651.0,42690.0,0
40647.0,42707.0,0
40651.0,42714.0,0
40667.0,42704.0,0
40671.0,42708.0,0
40683.0,42729.0,0
40658.0,42719.0,0
40687.0,42737.0,0
40676.0,42723.0,0
40696.0,42727.0,0
40701.0,42721.0,0
40708.0,42741.0,0
40701.0,42730.0,0
40710.0,42739.0,0
40717.0,42751.0,0
40698.0,42749.0,0
40704.0,42762.0,0
40712.0,42747.0,0
40715.0,42741.0,0
40726.0,42761.0,0
40716.0,42762.0,0
40723.0,42753.0,0
40715.0,42748.0,0
40710.0,42755.0,0
40720.0,42770.0,0
40732.0,42763.0,0
40724.0,42781.0,0
40733.0,42786.0,0
40718.0,42797.0,0
40725.0,42782.0,0
40725.0,42782.0,0
40721.0,42772.0,0
40751.0,42793.0,0
40736.0,42793.0,0
40754.0,42770.0,0
40749.0,42793.0,0
40747.0,42784.0,0
40760.0,42792.0,0
40745.0,42797.0,0
40747.0,42784.0,0
40748.0,42807.0,0
40759.0,42803.0,0
40751.0,42804.0,0
40754.0,42807.0,0
40755.0,42806.0,0
40750.0,42792.0,0
40760.0,42800.0,0
40767.0,42817.0,0
40775.0,42807.0,0
40763.0,42817.0,0
40779.0,42823.0,0
40772.0,42799.0,0
40779.0,42806.0,0
40765.0,42832.0,0
40774.0,42831.0,0
40761.0,42833.0,0
40779.0,42830.0,0
40800.0,42827.0,0
